county,gm_samp_collection_date,10:2FTS,11ClPF3OUDS,3:3FTCA,4:2FTS,5:3FTCA,6:2FTS,7:3FTCA,8:2FTS,9ClPF3ONS,ADONA,ETFOSA,ETFOSE,HFPA-DA,MEFOSA,MEFOSE,NETFOSAA,NMEFOSAA,PFBSA,PFBTA,PFDOA,PFDSA,PFHA,PFHPA,PFHPSA,PFHXDA,PFHXSA,PFNA,PFNDCA,PFNS,PFOA,PFODA,PFOS,PFOSA,PFPA,PFPES,PFTEDA,PFTRIDA,PFUNDCA,total_pfas_concentration
Alameda,2018-09-11,1.200594808434025,1.120462744172996,1.6584706156799691,2.1799930219773094,1.4857835143629348,7.66756800683254,1.8479534781963274,4.0095320636013705,1.1140505687682423,1.169154581921222,1.2174556807349879,1.3722106729119483,1.2852132305999173,1.0865585930928396,1.6446936617435028,1.0986122886681096,1.0986122886681096,1.11514159061932,1.11514159061932,1.11514159061932,1.4586150226995167,1.11514159061932,1.11514159061932,1.11514159061932,3.6740833015763568,2.163323025660538,1.11514159061932,1.11514159061932,0.9890702469111965,1.3862943611198906,1.454720357490875,2.4423470353692043,1.4586150226995167,1.11514159061932,4.95130721222515,1.4586150226995167,1.4586150226995167,1.11514159061932,66.30394135771083
Alameda,2018-11-28,1.200594808434025,1.120462744172996,1.6584706156799691,2.1799930219773094,1.4857835143629348,7.66756800683254,1.8479534781963274,4.0095320636013705,1.1140505687682423,1.169154581921222,1.2174556807349879,1.3722106729119483,1.2852132305999173,1.0865585930928396,1.6446936617435028,1.0986122886681096,1.0986122886681096,1.410986973710262,1.11514159061932,1.0986122886681096,1.4586150226995167,1.4190841839428814,1.0986122886681096,1.11514159061932,3.6740833015763568,2.4849066497880004,1.0986122886681096,1.0986122886681096,0.9890702469111965,1.3609765531356006,1.454720357490875,2.5649493574615367,1.4586150226995167,1.11514159061932,4.95130721222515,1.0986122886681096,1.0986122886681096,1.0986122886681096,66.51994549454197
Alameda,2018-12-04,1.200594808434025,1.120462744172996,1.6584706156799691,2.1799930219773094,1.4857835143629348,7.66756800683254,1.8479534781963274,4.0095320636013705,1.1140505687682423,1.169154581921222,1.2174556807349879,1.3722106729119483,1.2852132305999173,1.0865585930928396,1.6446936617435028,1.0986122886681096,1.0986122886681096,1.6863989535702286,1.11514159061932,1.0986122886681096,1.4586150226995167,1.3862943611198906,1.0986122886681096,1.11514159061932,3.6740833015763568,2.803360380906535,1.0986122886681096,1.0986122886681096,0.9890702469111965,1.252762968495368,1.454720357490875,2.302585092994046,1.4586150226995167,1.11514159061932,4.95130721222515,1.0986122886681096,1.0986122886681096,1.0986122886681096,66.71044353358975
Alameda,2019-01-02,1.819467276031348,1.1064162257050452,1.161810626446725,0.9374714223486713,1.3202308682800017,6.5353722055186045,1.161810626446725,4.622537724163001,1.1125397924602503,2.0396332409648035,2.4574498035549612,2.4834770569784057,1.419273435289805,2.451005098112319,2.4834770569784057,1.1096621248546947,1.1096621248546947,1.777773227253315,5.917283709051741,1.1096621248546947,0.2351155560622623,1.7346010553881064,1.1837700970084164,5.035874289451102,1.161810626446725,3.2516656476911914,1.1096621248546947,1.1096621248546947,2.0198431787938005,1.612765702526775,1.5777998070822339,3.378724525810097,4.382941165996302,6.68763184201518,5.971111414831884,1.1096621248546947,1.1096621248546947,1.1096621248546947,87.91798130352574
Alameda,2019-01-22,1.819467276031348,1.1064162257050452,1.161810626446725,0.9374714223486713,1.3202308682800017,6.5353722055186045,1.161810626446725,4.622537724163001,1.1125397924602503,2.0396332409648035,2.4574498035549612,2.4834770569784057,1.419273435289805,2.451005098112319,2.4834770569784057,1.4147052641477116,1.3988300978676804,3.9513895565424035,5.917283709051741,0.9961608564835229,0.2351155560622623,6.185515999074486,4.375091966492317,5.035874289451102,1.161810626446725,3.2939811770241074,2.80378666260481,2.2043469094269845,2.0198431787938005,1.7092832474038167,1.5777998070822339,3.7316994512968646,4.382941165996302,6.68763184201518,5.971111414831884,0.8806873132125854,0.9007992216246884,0.9743832576006368,100.92204502981292
Alameda,2019-04-04,1.819467276031348,1.1064162257050452,1.161810626446725,0.9374714223486713,1.3202308682800017,6.5353722055186045,1.161810626446725,4.622537724163001,1.1125397924602503,2.0396332409648035,2.4574498035549612,2.4834770569784057,1.419273435289805,2.451005098112319,2.4834770569784057,1.4147052641477116,1.3988300978676804,2.302585092994046,5.917283709051741,0.9961608564835229,0.2351155560622623,6.185515999074486,1.1314021114911006,5.035874289451102,1.161810626446725,2.5649493574615367,1.0986122886681096,2.2043469094269845,2.0198431787938005,1.7047480922384253,1.5777998070822339,2.995732273553991,4.382941165996302,6.68763184201518,5.971111414831884,0.8806873132125854,0.9007992216246884,0.9743832576006368,92.85484218485581
Alameda,2019-04-08,1.819467276031348,1.1064162257050452,1.161810626446725,0.9374714223486713,1.3202308682800017,6.5353722055186045,1.161810626446725,4.622537724163001,1.1125397924602503,2.0396332409648035,2.4574498035549612,2.4834770569784057,1.419273435289805,2.451005098112319,2.4834770569784057,1.0986122886681096,1.0986122886681096,1.7621589994517641,5.917283709051741,1.0986122886681096,0.2351155560622623,1.667706820558076,1.1233049012584813,5.035874289451102,1.161810626446725,3.295836866004329,1.0986122886681096,1.0986122886681096,2.0198431787938005,1.4644121403838426,1.5777998070822339,3.5765502691400166,4.382941165996302,6.68763184201518,5.971111414831884,1.0986122886681096,1.0986122886681096,1.0986122886681096,87.78025235515166
Alameda,2019-04-09,1.819467276031348,1.1064162257050452,1.161810626446725,0.9374714223486713,1.3202308682800017,6.5353722055186045,1.161810626446725,4.622537724163001,1.1125397924602503,2.0396332409648035,2.4574498035549612,2.4834770569784057,1.419273435289805,2.451005098112319,2.4834770569784057,1.0986122886681096,1.0986122886681096,2.188856327665703,5.917283709051741,1.0986122886681096,0.2351155560622623,2.057323736426217,1.3217558399823195,5.035874289451102,1.161810626446725,3.629660094453965,1.0986122886681096,1.0986122886681096,2.0198431787938005,1.8285734423507711,1.5777998070822339,3.542407550213679,4.382941165996302,6.68763184201518,5.971111414831884,1.0986122886681096,1.0986122886681096,1.0986122886681096,89.4588593494478
Alameda,2019-04-17,1.819467276031348,1.1064162257050452,1.161810626446725,0.9374714223486713,1.3202308682800017,6.5353722055186045,1.161810626446725,4.622537724163001,1.1125397924602503,2.0396332409648035,2.4574498035549612,2.4834770569784057,1.419273435289805,2.451005098112319,2.4834770569784057,1.0986122886681096,1.0986122886681096,2.1633230256605382,5.917283709051741,1.0986122886681096,0.2351155560622623,2.1041341542702074,1.0986122886681096,5.035874289451102,1.161810626446725,3.8712010109078907,1.0986122886681096,1.0986122886681096,2.0198431787938005,1.9600947840472698,1.5777998070822339,3.9318256327243257,4.382941165996302,6.68763184201518,5.971111414831884,1.0986122886681096,1.0986122886681096,1.0986122886681096,90.01947325463348
Alameda,2019-05-22,1.819467276031348,1.1064162257050452,1.161810626446725,0.9374714223486713,1.3202308682800017,6.5353722055186045,1.161810626446725,4.622537724163001,1.1125397924602503,2.0396332409648035,2.4574498035549612,2.4834770569784057,1.419273435289805,2.451005098112319,2.4834770569784057,1.0986122886681096,1.0986122886681096,2.2721258855093374,5.917283709051741,1.0986122886681096,0.2351155560622623,2.4595888418037104,2.049841071903545,5.035874289451102,1.161810626446725,3.8066624897703196,1.4429897047964357,1.0986122886681096,2.0198431787938005,1.9218125974762528,1.5777998070822339,4.116323468940876,4.382941165996302,6.68763184201518,5.971111414831884,1.0986122886681096,1.0986122886681096,1.0986122886681096,91.86101412988752
