county,gm_samp_collection_date,10:2FTS,11ClPF3OUDS,3:3FTCA,4:2FTS,5:3FTCA,6:2FTS,7:3FTCA,8:2FTS,9ClPF3ONS,ADONA,ETFOSA,ETFOSE,HFPA-DA,MEFOSA,MEFOSE,NETFOSAA,NMEFOSAA,PFBSA,PFBTA,PFDOA,PFDSA,PFHA,PFHPA,PFHPSA,PFHXDA,PFHXSA,PFNA,PFNDCA,PFNS,PFOA,PFODA,PFOS,PFOSA,PFPA,PFPES,PFTEDA,PFTRIDA,PFUNDCA
San Bernardino,2021-06-15,2.322092343724431,1.75,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.75,1.75,2.378580600906493,2.944060091918414,1.75,1.964055977621859,4.179423008482981,1.75,1.75,5.449999999999999,4.0,1.75,2.0,17.5,3.0,2.0,38.41251090564432,2.45,1.8,3.2,2.0,7.55,3.283285509403036,7.5,4.0,2.0,2.0,1.75,1.75,1.75
San Bernardino,2021-06-23,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-07-02,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-07-06,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,2.05,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-07-08,2.322092343724431,1.7111111111111112,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7111111111111112,1.7111111111111112,2.378580600906493,2.944060091918414,1.7111111111111112,1.964055977621859,4.179423008482981,1.7111111111111112,1.7111111111111112,4.077777777777778,4.0,1.7111111111111112,2.0,1.7111111111111112,1.7111111111111112,2.0,38.41251090564432,2.2888888888888888,1.7111111111111112,1.7111111111111112,2.0,1.9666666666666666,3.283285509403036,1.8666666666666667,4.0,2.0,2.0,1.7111111111111112,1.7111111111111112,1.7111111111111112
San Bernardino,2021-07-12,2.322092343724431,1.8,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.8,1.8,2.378580600906493,2.944060091918414,1.8,1.964055977621859,4.179423008482981,1.8,1.8,2.8,4.0,1.8,2.0,1.8,1.8,2.0,38.41251090564432,2.2,1.8,1.8,2.0,1.8,3.283285509403036,3.7,4.0,2.0,2.0,1.8,1.8,1.8
San Bernardino,2021-07-14,2.322092343724431,1.8,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.8,1.8,2.378580600906493,2.944060091918414,1.8,1.964055977621859,4.179423008482981,2.9,2.9,2.95,4.0,1.8,2.0,6.0,3.05,2.0,38.41251090564432,5.7,1.95,1.9,2.0,9.0,3.283285509403036,11.0,4.0,2.0,2.0,1.9,1.9,1.8
San Bernardino,2021-07-15,2.322092343724431,1.75,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.75,1.75,2.378580600906493,2.944060091918414,1.75,1.964055977621859,4.179423008482981,1.75,1.75,2.275,4.0,1.75,2.0,4.675,2.35,2.0,38.41251090564432,4.25,1.85,1.75,2.0,8.75,3.283285509403036,12.825,4.0,2.0,2.0,1.75,1.75,1.75
San Bernardino,2021-07-16,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-07-19,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
