Counties,Sex,Cancer,PopTot,AAIR,Cancer_Incidents
Calaveras,Male,CRC,113685,37.1,42.177135
Calaveras,Female,CRC,113038,31.8,35.946084000000006
Calaveras,Male,Mela,113685,26.6,30.24021
Calaveras,Female,Mela,113038,24.8,28.033424
Calaveras,Male,Uterine,113685,0.0,0.0
Calaveras,Female,Uterine,113038,24.1,27.242158
Calaveras,Male,Lymph,113685,11.9,13.528515
Calaveras,Female,Lymph,113038,11.9,13.451522
Calaveras,Male,Urinary,113685,32.9,37.402364999999996
Calaveras,Female,Urinary,113038,9.0,10.17342
Calaveras,Male,Kidney,113685,24.0,27.2844
Calaveras,Female,Kidney,113038,14.5,16.39051
Calaveras,Male,Thyroid,113685,6.2,7.04847
Calaveras,Female,Thyroid,113038,11.2,12.660256
Calaveras,Male,Liver,113685,12.1,13.755885
Calaveras,Female,Liver,113038,3.9,4.408482
Calaveras,Male,Pancreas,113685,13.9,15.802214999999999
Calaveras,Female,Pancreas,113038,9.1,10.286458
Calaveras,Male,AllSite,113685,431.9,491.005515
Calaveras,Female,AllSite,113038,406.2,459.160356
Colusa,Male,Prostate,55789,88.6,49.429054
Colusa,Female,Prostate,53236,0.0,0.0
Colusa,Male,Breast,55789,0.0,0.0
Colusa,Female,Breast,53236,100.7,53.608652000000006
Colusa,Male,Lung,55789,40.4,22.538756
Colusa,Female,Lung,53236,41.9,22.305884
Colusa,Male,CRC,55789,34.2,19.079838000000002
Colusa,Female,CRC,53236,43.6,23.210896
Colusa,Male,Mela,55789,12.6,7.029414
Colusa,Female,Mela,53236,11.8,6.281848
Colusa,Male,Uterine,55789,0.0,0.0
Colusa,Female,Uterine,53236,20.1,10.700436
Colusa,Male,Lymph,55789,11.1,6.192579
Colusa,Female,Lymph,53236,13.1,6.973915999999999
Colusa,Male,Urinary,55789,26.2,14.616717999999999
Colusa,Female,Urinary,53236,8.0,4.25888
Colusa,Male,Kidney,55789,18.6,10.376754000000002
Colusa,Female,Kidney,53236,4.1,2.182676
Colusa,Male,Thyroid,55789,9.4,5.244166000000001
Colusa,Female,Thyroid,53236,13.4,7.133624
Colusa,Male,Liver,55789,11.9,6.638891
Colusa,Female,Liver,53236,8.6,4.578295999999999
Colusa,Male,Pancreas,55789,9.5,5.299955000000001
Colusa,Female,Pancreas,53236,9.3,4.950948
Colusa,Male,AllSite,55789,393.1,219.30655900000002
Colusa,Female,AllSite,53236,361.0,192.18196
Contra Costa,Male,Prostate,2863164,100.1,2866.0271639999996
Contra Costa,Female,Prostate,2946234,0.0,0.0
Contra Costa,Male,Breast,2863164,0.9,25.768476
Contra Costa,Female,Breast,2946234,135.6,3995.093304
Contra Costa,Male,Lung,2863164,38.4,1099.454976
Contra Costa,Female,Lung,2946234,36.7,1081.267878
Contra Costa,Male,CRC,2863164,38.3,1096.591812
Contra Costa,Female,CRC,2946234,30.9,910.3863059999999
Contra Costa,Male,Mela,2863164,40.0,1145.2656
Contra Costa,Female,Mela,2946234,22.5,662.90265
Contra Costa,Male,Uterine,2863164,0.0,0.0
Contra Costa,Female,Uterine,2946234,27.1,798.4294140000001
Contra Costa,Male,Lymph,2863164,22.5,644.2119
Contra Costa,Female,Lymph,2946234,16.0,471.39744
Contra Costa,Male,Urinary,2863164,28.1,804.549084
Contra Costa,Female,Urinary,2946234,6.5,191.50520999999998
Contra Costa,Male,Kidney,2863164,21.0,601.26444
Contra Costa,Female,Kidney,2946234,9.4,276.94599600000004
Contra Costa,Male,Thyroid,2863164,7.1,203.284644
Contra Costa,Female,Thyroid,2946234,16.8,494.96731200000005
Contra Costa,Male,Liver,2863164,11.2,320.674368
Contra Costa,Female,Liver,2946234,4.9,144.36546600000003
Contra Costa,Male,Pancreas,2863164,14.8,423.74827200000004
Contra Costa,Female,Pancreas,2946234,11.3,332.924442
Contra Costa,Male,AllSite,2863164,430.6,12328.784184
Contra Costa,Female,AllSite,2946234,400.2,11790.828467999998
Del Norte,Male,Prostate,74814,58.9,44.065446
Del Norte,Female,Prostate,62938,0.0,0.0
Del Norte,Male,Breast,74814,0.0,0.0
Del Norte,Female,Breast,62938,64.3,40.469134000000004
Del Norte,Male,Lung,74814,52.6,39.352164
Del Norte,Female,Lung,62938,58.3,36.692854
Del Norte,Male,CRC,74814,31.6,23.641224
Del Norte,Female,CRC,62938,25.8,16.238004
Del Norte,Male,Mela,74814,25.5,19.07757
Del Norte,Female,Mela,62938,17.8,11.202964000000001
Del Norte,Male,Uterine,74814,0.0,0.0
Del Norte,Female,Uterine,62938,25.3,15.923314000000001
Del Norte,Male,Lymph,74814,26.3,19.676082
Del Norte,Female,Lymph,62938,18.6,11.706468000000001
Del Norte,Male,Urinary,74814,31.5,23.56641
Del Norte,Female,Urinary,62938,4.6,2.8951479999999994
Del Norte,Male,Kidney,74814,15.5,11.59617
Del Norte,Female,Kidney,62938,9.3,5.8532340000000005
Del Norte,Male,Thyroid,74814,0.8,0.5985119999999999
Del Norte,Female,Thyroid,62938,13.2,8.307815999999999
Del Norte,Male,Liver,74814,11.9,8.902866000000001
Del Norte,Female,Liver,62938,6.5,4.0909699999999996
Del Norte,Male,Pancreas,74814,20.6,15.411684000000001
Del Norte,Female,Pancreas,62938,8.3,5.223854000000001
Del Norte,Male,AllSite,74814,366.5,274.19331
Del Norte,Female,AllSite,62938,333.7,210.024106
El Dorado,Male,Prostate,477939,98.5,470.76991499999997
El Dorado,Female,Prostate,475158,0.0,0.0
El Dorado,Male,Breast,477939,0.9,4.301451
El Dorado,Female,Breast,475158,136.0,646.21488
El Dorado,Male,Lung,477939,34.7,165.84483300000002
El Dorado,Female,Lung,475158,36.5,173.43267
El Dorado,Male,CRC,477939,38.9,185.91827099999998
El Dorado,Female,CRC,475158,30.2,143.497716
El Dorado,Male,Mela,477939,44.4,212.204916
El Dorado,Female,Mela,475158,30.6,145.398348
El Dorado,Male,Uterine,477939,0.0,0.0
El Dorado,Female,Uterine,475158,25.8,122.590764
El Dorado,Male,Lymph,477939,17.3,82.683447
El Dorado,Female,Lymph,475158,15.1,71.748858
El Dorado,Male,Urinary,477939,35.7,170.624223
El Dorado,Female,Urinary,475158,7.2,34.211376
El Dorado,Male,Kidney,477939,19.6,93.676044
El Dorado,Female,Kidney,475158,9.7,46.090326
El Dorado,Male,Thyroid,477939,9.1,43.492449
El Dorado,Female,Thyroid,475158,16.9,80.30170199999999
El Dorado,Male,Liver,477939,10.6,50.661534
El Dorado,Female,Liver,475158,3.4,16.155372
El Dorado,Male,Pancreas,477939,11.8,56.396802
El Dorado,Female,Pancreas,475158,13.1,62.24569799999999
El Dorado,Male,AllSite,477939,439.6,2101.0198440000004
El Dorado,Female,AllSite,475158,416.5,1979.0330700000002
"Tulare, Fresno",Male,Prostate,2518259,88.0,2216.06792
"Tulare, Fresno",Female,Prostate,2496652,0.0,0.0
"Tulare, Fresno",Male,Breast,2518259,0.8,20.146072
"Tulare, Fresno",Female,Breast,2496652,111.8,2791.256936
"Tulare, Fresno",Male,Lung,2518259,43.9,1105.515701
"Tulare, Fresno",Female,Lung,2496652,35.2,878.8215040000001
"Tulare, Fresno",Male,CRC,2518259,35.0,881.3906499999999
"Tulare, Fresno",Female,CRC,2496652,29.3,731.519036
"Tulare, Fresno",Male,Mela,2518259,24.8,624.528232
"Tulare, Fresno",Female,Mela,2496652,13.5,337.04802
"Tulare, Fresno",Male,Uterine,2518259,0.0,0.0
"Tulare, Fresno",Female,Uterine,2496652,24.1,601.693132
"Tulare, Fresno",Male,Lymph,2518259,21.6,543.9439440000001
"Tulare, Fresno",Female,Lymph,2496652,14.9,372.00114800000006
"Tulare, Fresno",Male,Urinary,2518259,25.2,634.601268
"Tulare, Fresno",Female,Urinary,2496652,5.2,129.825904
"Tulare, Fresno",Male,Kidney,2518259,24.9,627.046491
"Tulare, Fresno",Female,Kidney,2496652,13.9,347.034628
"Tulare, Fresno",Male,Thyroid,2518259,5.7,143.540763
"Tulare, Fresno",Female,Thyroid,2496652,17.1,426.92749200000003
"Tulare, Fresno",Male,Liver,2518259,19.7,496.097023
"Tulare, Fresno",Female,Liver,2496652,7.7,192.24220400000002
"Tulare, Fresno",Male,Pancreas,2518259,16.0,402.92144
"Tulare, Fresno",Female,Pancreas,2496652,10.6,264.645112
"Tulare, Fresno",Male,AllSite,2518259,419.8,10571.651282
"Tulare, Fresno",Female,AllSite,2496652,374.5,9349.96174
Glenn,Male,Prostate,73239,105.4,77.193906
Glenn,Female,Prostate,70092,0.0,0.0
Glenn,Male,Breast,73239,2.2,1.6112580000000003
Glenn,Female,Breast,70092,114.5,80.25534
Glenn,Male,Lung,73239,58.5,42.844815000000004
Glenn,Female,Lung,70092,53.1,37.218852
Glenn,Male,CRC,73239,49.9,36.546261
Glenn,Female,CRC,70092,29.4,20.607048
Glenn,Male,Mela,73239,34.8,25.487171999999997
Glenn,Female,Mela,70092,28.4,19.906128
Glenn,Male,Uterine,73239,0.0,0.0
